{'M_BLOCKING=12_avg': 250.472, 'M_BLOCKING=12_best': 250.472, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 251.084, 'M_BLOCKING=16_best': 251.084, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 247.842, 'M_BLOCKING=1_best': 247.842, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 248.56100000000004, 'M_BLOCKING=2_best': 248.56100000000004, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 248.172, 'M_BLOCKING=3_best': 248.172, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 248.908, 'M_BLOCKING=6_best': 248.908, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 244.351, 'xsmm_reference_best': 244.351, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 623.11, 'M_BLOCKING=12_best': 623.11, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 619.506, 'M_BLOCKING=16_best': 619.506, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 611.668, 'M_BLOCKING=1_best': 611.668, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 600.615, 'M_BLOCKING=2_best': 600.615, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 608.807, 'M_BLOCKING=3_best': 608.807, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 624.865, 'M_BLOCKING=6_best': 624.865, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 249984, 'xsmm_reference_avg': 4003.357, 'xsmm_reference_best': 4003.357, 'xsmm_reference_cpu_freq': 2.999966, 'xsmm_reference_kernel_type': 'dense'}
{'M_BLOCKING=12_avg': 248.926, 'M_BLOCKING=12_best': 248.926, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 249.99, 'M_BLOCKING=16_best': 249.99, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 249.839, 'M_BLOCKING=1_best': 249.839, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 249.514, 'M_BLOCKING=2_best': 249.514, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 249.367, 'M_BLOCKING=3_best': 249.367, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 253.076, 'M_BLOCKING=6_best': 253.076, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 253.50099999999998, 'xsmm_reference_best': 253.50099999999998, 'xsmm_reference_cpu_freq': 2.999942, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 532.028, 'M_BLOCKING=12_best': 532.028, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 472.541, 'M_BLOCKING=16_best': 472.541, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 421.318, 'M_BLOCKING=1_best': 421.318, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 423.015, 'M_BLOCKING=2_best': 423.015, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 436.817, 'M_BLOCKING=3_best': 436.817, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 433.573, 'M_BLOCKING=6_best': 433.573, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 452.64200000000005, 'xsmm_reference_best': 452.64200000000005, 'xsmm_reference_cpu_freq': 2.999969, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 679.126, 'M_BLOCKING=12_best': 679.126, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 658.647, 'M_BLOCKING=16_best': 658.647, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 560.41, 'M_BLOCKING=1_best': 560.41, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 522.77, 'M_BLOCKING=2_best': 522.77, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 535.521, 'M_BLOCKING=3_best': 535.521, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 579.5550000000001, 'M_BLOCKING=6_best': 579.5550000000001, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 356.536, 'xsmm_reference_best': 356.536, 'xsmm_reference_cpu_freq': 2.999914, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 858.562, 'M_BLOCKING=12_best': 858.562, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 815.41, 'M_BLOCKING=16_best': 815.41, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 761.2090000000001, 'M_BLOCKING=1_best': 761.2090000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 665.781, 'M_BLOCKING=2_best': 665.781, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 742.129, 'M_BLOCKING=3_best': 742.129, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 773.712, 'M_BLOCKING=6_best': 773.712, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 690.014, 'xsmm_reference_best': 690.014, 'xsmm_reference_cpu_freq': 2.999887, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 1019.117, 'M_BLOCKING=12_best': 1019.117, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 953.853, 'M_BLOCKING=16_best': 953.853, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 992.057, 'M_BLOCKING=1_best': 992.057, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 850.735, 'M_BLOCKING=2_best': 850.735, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 900.886, 'M_BLOCKING=3_best': 900.886, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 976.115, 'M_BLOCKING=6_best': 976.115, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1226.009, 'xsmm_reference_best': 1226.009, 'xsmm_reference_cpu_freq': 2.999934, 'xsmm_reference_kernel_type': 'dense'}
{'M_BLOCKING=12_avg': 1167.596, 'M_BLOCKING=12_best': 1167.596, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 1103.815, 'M_BLOCKING=16_best': 1103.815, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1254.1799999999998, 'M_BLOCKING=1_best': 1254.1799999999998, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1050.536, 'M_BLOCKING=2_best': 1050.536, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 1077.558, 'M_BLOCKING=3_best': 1077.558, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 1166.508, 'M_BLOCKING=6_best': 1166.508, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1213.387, 'xsmm_reference_best': 1213.387, 'xsmm_reference_cpu_freq': 2.999918, 'xsmm_reference_kernel_type': 'dense'}
{'M_BLOCKING=12_avg': 391.284, 'M_BLOCKING=12_best': 391.284, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 383.653, 'M_BLOCKING=16_best': 383.653, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 370.511, 'M_BLOCKING=1_best': 370.511, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 372.23699999999997, 'M_BLOCKING=2_best': 372.23699999999997, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 379.911, 'M_BLOCKING=3_best': 379.911, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 382.037, 'M_BLOCKING=6_best': 382.037, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 393.046, 'xsmm_reference_best': 393.046, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 580.346, 'M_BLOCKING=12_best': 580.346, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 566.5409999999999, 'M_BLOCKING=16_best': 566.5409999999999, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 474.084, 'M_BLOCKING=1_best': 474.084, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 464.356, 'M_BLOCKING=2_best': 464.356, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 468.97799999999995, 'M_BLOCKING=3_best': 468.97799999999995, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 484.255, 'M_BLOCKING=6_best': 484.255, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 312.549, 'xsmm_reference_best': 312.549, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 775.987, 'M_BLOCKING=12_best': 775.987, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 734.173, 'M_BLOCKING=16_best': 734.173, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 652.839, 'M_BLOCKING=1_best': 652.839, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 588.639, 'M_BLOCKING=2_best': 588.639, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 603.03, 'M_BLOCKING=3_best': 603.03, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 670.49, 'M_BLOCKING=6_best': 670.49, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 606.311, 'xsmm_reference_best': 606.311, 'xsmm_reference_cpu_freq': 3.0, 'xsmm_reference_kernel_type': 'sparse'}
