{'N_BLOCKING=1_avg': 348.116, 'N_BLOCKING=1_best': 348.116, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 399.402, 'N_BLOCKING=2_best': 399.402, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 392.58399999999995, 'N_BLOCKING=3_best': 392.58399999999995, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 1800000, 'xsmm_reference_avg': 406.338, 'xsmm_reference_best': 406.338, 'xsmm_reference_cpu_freq': 2.999884, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 334.727, 'N_BLOCKING=1_best': 334.727, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 354.58, 'N_BLOCKING=2_best': 354.58, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 342.052, 'N_BLOCKING=3_best': 342.052, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 999984, 'xsmm_reference_avg': 336.746, 'xsmm_reference_best': 336.746, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 355.448, 'N_BLOCKING=1_best': 355.448, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 416.11, 'N_BLOCKING=2_best': 416.11, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 409.33299999999997, 'N_BLOCKING=3_best': 409.33299999999997, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m132.txt', 'size_n': 1124976, 'xsmm_reference_avg': 437.903, 'xsmm_reference_best': 437.903, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 357.206, 'N_BLOCKING=1_best': 357.206, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 360.03999999999996, 'N_BLOCKING=2_best': 360.03999999999996, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 299.145, 'N_BLOCKING=3_best': 299.145, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m460.txt', 'size_n': 1124976, 'xsmm_reference_avg': 331.186, 'xsmm_reference_best': 331.186, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 299.79100000000005, 'N_BLOCKING=1_best': 299.79100000000005, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 302.575, 'N_BLOCKING=2_best': 302.575, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 301.13599999999997, 'N_BLOCKING=3_best': 301.13599999999997, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m0.txt', 'size_n': 1047264, 'xsmm_reference_avg': 304.559, 'xsmm_reference_best': 304.559, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 349.192, 'N_BLOCKING=1_best': 349.192, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 414.369, 'N_BLOCKING=2_best': 414.369, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 385.307, 'N_BLOCKING=3_best': 385.307, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m3.txt', 'size_n': 1047264, 'xsmm_reference_avg': 429.086, 'xsmm_reference_best': 429.086, 'xsmm_reference_cpu_freq': 2.999937, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 337.585, 'N_BLOCKING=1_best': 337.585, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 353.02, 'N_BLOCKING=2_best': 353.02, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 347.499, 'N_BLOCKING=3_best': 347.499, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m6.txt', 'size_n': 548544, 'xsmm_reference_avg': 354.571, 'xsmm_reference_best': 354.571, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 456.001, 'N_BLOCKING=1_best': 456.001, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 458.921, 'N_BLOCKING=2_best': 458.921, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 429.346, 'N_BLOCKING=3_best': 429.346, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m132.txt', 'size_n': 576000, 'xsmm_reference_avg': 469.745, 'xsmm_reference_best': 469.745, 'xsmm_reference_cpu_freq': 2.999892, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 396.557, 'N_BLOCKING=1_best': 396.557, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 389.112, 'N_BLOCKING=2_best': 389.112, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 374.39599999999996, 'N_BLOCKING=3_best': 374.39599999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m460.txt', 'size_n': 576000, 'xsmm_reference_avg': 392.351, 'xsmm_reference_best': 392.351, 'xsmm_reference_cpu_freq': 2.999909, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 362.654, 'N_BLOCKING=1_best': 362.654, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 355.37199999999996, 'N_BLOCKING=2_best': 355.37199999999996, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 343.145, 'N_BLOCKING=3_best': 343.145, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m0.txt', 'size_n': 1047264, 'xsmm_reference_avg': 366.33799999999997, 'xsmm_reference_best': 366.33799999999997, 'xsmm_reference_cpu_freq': 2.999883, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 349.723, 'N_BLOCKING=1_best': 349.723, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 414.096, 'N_BLOCKING=2_best': 414.096, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 385.243, 'N_BLOCKING=3_best': 385.243, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m3.txt', 'size_n': 1047264, 'xsmm_reference_avg': 426.388, 'xsmm_reference_best': 426.388, 'xsmm_reference_cpu_freq': 2.99986, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 337.951, 'N_BLOCKING=1_best': 337.951, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 353.189, 'N_BLOCKING=2_best': 353.189, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 347.949, 'N_BLOCKING=3_best': 347.949, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m6.txt', 'size_n': 548544, 'xsmm_reference_avg': 353.884, 'xsmm_reference_best': 353.884, 'xsmm_reference_cpu_freq': 2.999902, 'xsmm_reference_kernel_type': 'wide-sparse'}
