{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m132.txt', 'xsmm_reference_avg': 149.24252083333334, 'xsmm_reference_best': 148.373, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m460.txt', 'xsmm_reference_avg': 130.5113333333333, 'xsmm_reference_best': 129.472, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 85.61793749999998, 'xsmm_reference_best': 85.30799999999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 107.50943750000003, 'xsmm_reference_best': 107.147, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 199.98127083333338, 'xsmm_reference_best': 199.194, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre/m0.txt', 'xsmm_reference_avg': 106.56145833333333, 'xsmm_reference_best': 106.109, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre/m3.txt', 'xsmm_reference_avg': 107.99664583333333, 'xsmm_reference_best': 107.493, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre/m6.txt', 'xsmm_reference_avg': 200.03456249999996, 'xsmm_reference_best': 198.912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0029154518950437317, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 118.22404166666668, 'xsmm_reference_best': 117.867, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 160.07700000000003, 'xsmm_reference_best': 158.57899999999995, 'xsmm_reference_kernel_type': 'wide-sparse'}
