{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.0205668500860392, 'speedup_best_over_ref': 1.0199522045261353, 'xsmm_custom_avg': 62.580479166666656, 'xsmm_custom_best': 62.349, 'xsmm_reference_avg': 63.86756249999999, 'xsmm_reference_best': 63.593}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 1.0182618712092952, 'speedup_best_over_ref': 1.018141882029111, 'xsmm_custom_avg': 72.381, 'xsmm_custom_best': 71.933, 'xsmm_reference_avg': 73.7028125, 'xsmm_reference_best': 73.23800000000006}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 0.9945771245345209, 'speedup_best_over_ref': 0.9968268167739868, 'xsmm_custom_avg': 119.27097916666663, 'xsmm_custom_best': 118.493, 'xsmm_reference_avg': 118.62418750000005, 'xsmm_reference_best': 118.117}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 0.9999964454112927, 'speedup_best_over_ref': 1.0007205563488286, 'xsmm_custom_avg': 152.3851875, 'xsmm_custom_best': 151.272, 'xsmm_reference_avg': 152.38464583333337, 'xsmm_reference_best': 151.381}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 1.000477023574477, 'speedup_best_over_ref': 0.998663377301855, 'xsmm_custom_avg': 132.28731249999996, 'xsmm_custom_best': 130.927, 'xsmm_reference_avg': 132.3504166666667, 'xsmm_reference_best': 130.75199999999995}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 1.0140756305585858, 'speedup_best_over_ref': 1.0126987477135219, 'xsmm_custom_avg': 85.6829583333333, 'xsmm_custom_best': 85.284, 'xsmm_reference_avg': 86.88900000000001, 'xsmm_reference_best': 86.367}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 0.9985361670390913, 'speedup_best_over_ref': 0.9976817153444375, 'xsmm_custom_avg': 107.93581249999998, 'xsmm_custom_best': 107.407, 'xsmm_reference_avg': 107.77781250000002, 'xsmm_reference_best': 107.158}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 0.9971966907634989, 'speedup_best_over_ref': 0.9975846482212659, 'xsmm_custom_avg': 204.01483333333329, 'xsmm_custom_best': 202.869, 'xsmm_reference_avg': 203.44291666666672, 'xsmm_reference_best': 202.379}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.0027031430992068, 'speedup_best_over_ref': 1.002762562137859, 'xsmm_custom_avg': 126.95868750000001, 'xsmm_custom_best': 126.332, 'xsmm_reference_avg': 127.30187499999998, 'xsmm_reference_best': 126.681}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 0.9996722172372062, 'speedup_best_over_ref': 1.0002889419133543, 'xsmm_custom_avg': 107.98564583333332, 'xsmm_custom_best': 107.288, 'xsmm_reference_avg': 107.95025, 'xsmm_reference_best': 107.31899999999996}
