{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 1.006577301234468, 'speedup_best_over_ref': 1.008265392184425, 'xsmm_custom_avg': 71.68910416666668, 'xsmm_custom_best': 71.14, 'xsmm_reference_avg': 72.16062500000001, 'xsmm_reference_best': 71.728}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 1.0008624511032804, 'speedup_best_over_ref': 1.0002204361243938, 'xsmm_custom_avg': 118.3883541666667, 'xsmm_custom_best': 117.948, 'xsmm_reference_avg': 118.49045833333331, 'xsmm_reference_best': 117.974}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg_over_ref': 1.0032402228081283, 'speedup_best_over_ref': 1.0031747913661482, 'xsmm_custom_avg': 152.68368750000002, 'xsmm_custom_best': 151.82100000000003, 'xsmm_reference_avg': 153.17841666666666, 'xsmm_reference_best': 152.303}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg_over_ref': 0.9994572583645296, 'speedup_best_over_ref': 0.9985372758729161, 'xsmm_custom_avg': 128.13033333333334, 'xsmm_custom_best': 127.16, 'xsmm_reference_avg': 128.06079166666663, 'xsmm_reference_best': 126.974}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 0.9936410294456278, 'speedup_best_over_ref': 0.9952331851451175, 'xsmm_custom_avg': 59.53204166666666, 'xsmm_custom_best': 59.159, 'xsmm_reference_avg': 59.15347916666666, 'xsmm_reference_best': 58.877}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 0.9969556174820858, 'speedup_best_over_ref': 0.9946459606436059, 'xsmm_custom_avg': 71.79206250000001, 'xsmm_custom_best': 71.348, 'xsmm_reference_avg': 71.57350000000001, 'xsmm_reference_best': 70.966}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 1.0000963984619875, 'speedup_best_over_ref': 0.9998643055838252, 'xsmm_custom_avg': 118.43204166666663, 'xsmm_custom_best': 117.912, 'xsmm_reference_avg': 118.44345833333334, 'xsmm_reference_best': 117.896}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 1.0121277713681183, 'speedup_best_over_ref': 1.0077305506993008, 'xsmm_custom_avg': 147.2206458333333, 'xsmm_custom_best': 146.432, 'xsmm_reference_avg': 149.0061041666667, 'xsmm_reference_best': 147.564}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 0.9986656479296426, 'speedup_best_over_ref': 0.9938034703679772, 'xsmm_custom_avg': 129.24499999999998, 'xsmm_custom_best': 128.459, 'xsmm_reference_avg': 129.07254166666664, 'xsmm_reference_best': 127.663}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 1.0076799126147975, 'speedup_best_over_ref': 1.0070752495761914, 'xsmm_custom_avg': 85.29285416666667, 'xsmm_custom_best': 84.944, 'xsmm_reference_avg': 85.94789583333335, 'xsmm_reference_best': 85.545}
