{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.998131838804377, 'speedup_best_over_ref': 0.998131838804377, 'xsmm_custom_avg': 0.3747, 'xsmm_custom_best': 0.3747, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.374, 'xsmm_reference_best': 0.374, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9294682422451995, 'speedup_best_over_ref': 0.9294682422451995, 'xsmm_custom_avg': 0.4513333333333333, 'xsmm_custom_best': 0.4513333333333333, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.41950000000000004, 'xsmm_reference_best': 0.41950000000000004, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9916147308781869, 'speedup_best_over_ref': 0.9916147308781869, 'xsmm_custom_avg': 0.8825000000000001, 'xsmm_custom_best': 0.8825000000000001, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.8751, 'xsmm_reference_best': 0.8751, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9997522708505366, 'speedup_best_over_ref': 0.9997522708505366, 'xsmm_custom_avg': 0.4036666666666667, 'xsmm_custom_best': 0.4036666666666667, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.40356666666666663, 'xsmm_reference_best': 0.40356666666666663, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9655380287350547, 'speedup_best_over_ref': 0.9655380287350547, 'xsmm_custom_avg': 0.33176666666666665, 'xsmm_custom_best': 0.33176666666666665, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.3203333333333333, 'xsmm_reference_best': 0.3203333333333333, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0036463491491854, 'speedup_best_over_ref': 1.0036463491491854, 'xsmm_custom_avg': 0.7404666666666666, 'xsmm_custom_best': 0.7404666666666666, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.7431666666666668, 'xsmm_reference_best': 0.7431666666666668, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.006722354813047, 'speedup_best_over_ref': 1.006722354813047, 'xsmm_custom_avg': 0.838, 'xsmm_custom_best': 0.838, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.8436333333333333, 'xsmm_reference_best': 0.8436333333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9915509057925996, 'speedup_best_over_ref': 0.9915509057925996, 'xsmm_custom_avg': 2.682733333333333, 'xsmm_custom_best': 2.682733333333333, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 2.660066666666667, 'xsmm_reference_best': 2.660066666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0007895983576356, 'speedup_best_over_ref': 1.0007895983576356, 'xsmm_custom_avg': 1.2664666666666666, 'xsmm_custom_best': 1.2664666666666666, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 1.2674666666666667, 'xsmm_reference_best': 1.2674666666666667, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.993357617313049, 'speedup_best_over_ref': 0.993357617313049, 'xsmm_custom_avg': 0.4667, 'xsmm_custom_best': 0.4667, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.46359999999999996, 'xsmm_reference_best': 0.46359999999999996, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9982787516419805, 'speedup_best_over_ref': 0.9982787516419805, 'xsmm_custom_avg': 0.7358999999999999, 'xsmm_custom_best': 0.7358999999999999, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.7346333333333334, 'xsmm_reference_best': 0.7346333333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9892065457077643, 'speedup_best_over_ref': 0.9892065457077643, 'xsmm_custom_avg': 0.8616333333333334, 'xsmm_custom_best': 0.8616333333333334, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.8523333333333334, 'xsmm_reference_best': 0.8523333333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0039627924635754, 'speedup_best_over_ref': 1.0039627924635754, 'xsmm_custom_avg': 2.809466666666667, 'xsmm_custom_best': 2.809466666666667, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 2.8205999999999998, 'xsmm_reference_best': 2.8205999999999998, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9849756278151416, 'speedup_best_over_ref': 0.9849756278151416, 'xsmm_custom_avg': 1.0804666666666667, 'xsmm_custom_best': 1.0804666666666667, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 1.0642333333333334, 'xsmm_reference_best': 1.0642333333333334, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9839393768025788, 'speedup_best_over_ref': 0.9839393768025788, 'xsmm_custom_avg': 0.5894333333333334, 'xsmm_custom_best': 0.5894333333333334, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.5799666666666667, 'xsmm_reference_best': 0.5799666666666667, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.980786164232011, 'speedup_best_over_ref': 0.980786164232011, 'xsmm_custom_avg': 1.4763666666666666, 'xsmm_custom_best': 1.4763666666666666, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 1.448, 'xsmm_reference_best': 1.448, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9922768632712387, 'speedup_best_over_ref': 0.9922768632712387, 'xsmm_custom_avg': 1.9379, 'xsmm_custom_best': 1.9379, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 1.9229333333333334, 'xsmm_reference_best': 1.9229333333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 648, 'a_nonzero': 3456, 'a_rows': 216, 'a_size': 139968, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.99581350175845, 'speedup_best_over_ref': 0.99581350175845, 'xsmm_custom_avg': 5.5257, 'xsmm_custom_best': 5.5257, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 5.502566666666667, 'xsmm_reference_best': 5.502566666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
