{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9906877108861659, 'speedup_best_over_ref': 0.9906877108861659, 'xsmm_custom_avg': 6.0064, 'xsmm_custom_best': 6.0064, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 5.950466666666667, 'xsmm_reference_best': 5.950466666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.020896989052496, 'speedup_best_over_ref': 1.020896989052496, 'xsmm_custom_avg': 6.5129, 'xsmm_custom_best': 6.5129, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 6.649000000000001, 'xsmm_reference_best': 6.649000000000001, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9473483595356932, 'speedup_best_over_ref': 0.9473483595356932, 'xsmm_custom_avg': 13.904599999999999, 'xsmm_custom_best': 13.904599999999999, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 13.172499999999998, 'xsmm_reference_best': 13.172499999999998, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0069050979312246, 'speedup_best_over_ref': 1.0069050979312246, 'xsmm_custom_avg': 4.841833333333333, 'xsmm_custom_best': 4.841833333333333, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 4.8752666666666675, 'xsmm_reference_best': 4.8752666666666675, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.947887612797375, 'speedup_best_over_ref': 0.947887612797375, 'xsmm_custom_avg': 6.501333333333332, 'xsmm_custom_best': 6.501333333333332, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 6.162533333333333, 'xsmm_reference_best': 6.162533333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0045331646574394, 'speedup_best_over_ref': 1.0045331646574394, 'xsmm_custom_avg': 10.750399999999997, 'xsmm_custom_best': 10.750399999999997, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 10.799133333333334, 'xsmm_reference_best': 10.799133333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0158974370856784, 'speedup_best_over_ref': 1.0158974370856784, 'xsmm_custom_avg': 14.385966666666667, 'xsmm_custom_best': 14.385966666666667, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 14.614666666666666, 'xsmm_reference_best': 14.614666666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0088775093918394, 'speedup_best_over_ref': 1.0088775093918394, 'xsmm_custom_avg': 26.636599999999998, 'xsmm_custom_best': 26.636599999999998, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 26.873066666666666, 'xsmm_reference_best': 26.873066666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9931132679836071, 'speedup_best_over_ref': 0.9931132679836071, 'xsmm_custom_avg': 15.193466666666666, 'xsmm_custom_best': 15.193466666666666, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 15.088833333333334, 'xsmm_reference_best': 15.088833333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.803819040099069, 'speedup_best_over_ref': 0.803819040099069, 'xsmm_custom_avg': 11.735933333333332, 'xsmm_custom_best': 11.735933333333332, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 9.433566666666666, 'xsmm_reference_best': 9.433566666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
