{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.872123151958543, 'speedup_best_over_ref': 0.872123151958543, 'xsmm_custom_avg': 9.1854, 'xsmm_custom_best': 9.1854, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 8.0108, 'xsmm_reference_best': 8.0108, 'xsmm_reference_cpu_freq': 2.999902, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.7405301921478168, 'speedup_best_over_ref': 0.7405301921478168, 'xsmm_custom_avg': 11.387066666666668, 'xsmm_custom_best': 11.387066666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 8.432466666666667, 'xsmm_reference_best': 8.432466666666667, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9216689706507869, 'speedup_best_over_ref': 0.9216689706507869, 'xsmm_custom_avg': 2.5077333333333334, 'xsmm_custom_best': 2.5077333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.3113, 'xsmm_reference_best': 2.3113, 'xsmm_reference_cpu_freq': 2.999854, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 9830, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5999755859375, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.6_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.6326275005560044, 'speedup_best_over_ref': 0.6326275005560044, 'xsmm_custom_avg': 14.238499999999998, 'xsmm_custom_best': 14.238499999999998, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.007666666666667, 'xsmm_reference_best': 9.007666666666667, 'xsmm_reference_cpu_freq': 2.999904, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 11468, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.699951171875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.7_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.56865181247059, 'speedup_best_over_ref': 0.56865181247059, 'xsmm_custom_avg': 16.15106666666667, 'xsmm_custom_best': 16.15106666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.184333333333333, 'xsmm_reference_best': 9.184333333333333, 'xsmm_reference_cpu_freq': 2.999922, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 13107, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.79998779296875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.8_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.40738597440057683, 'speedup_best_over_ref': 0.40738597440057683, 'xsmm_custom_avg': 18.490000000000002, 'xsmm_custom_best': 18.490000000000002, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.532566666666667, 'xsmm_reference_best': 7.532566666666667, 'xsmm_reference_cpu_freq': 2.999965, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 14745, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.89996337890625, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.9_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.3579552586098694, 'speedup_best_over_ref': 0.3579552586098694, 'xsmm_custom_avg': 20.7146, 'xsmm_custom_best': 20.7146, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.4149, 'xsmm_reference_best': 7.4149, 'xsmm_reference_cpu_freq': 2.999956, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8644338936652551, 'speedup_best_over_ref': 0.8644338936652551, 'xsmm_custom_avg': 3.8965, 'xsmm_custom_best': 3.8965, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.3682666666666665, 'xsmm_reference_best': 3.3682666666666665, 'xsmm_reference_cpu_freq': 2.999855, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9602341154636057, 'speedup_best_over_ref': 0.9602341154636057, 'xsmm_custom_avg': 5.729366666666666, 'xsmm_custom_best': 5.729366666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 5.501533333333333, 'xsmm_reference_best': 5.501533333333333, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9907738532634432, 'speedup_best_over_ref': 0.9907738532634432, 'xsmm_custom_avg': 2.0413, 'xsmm_custom_best': 2.0413, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.022466666666667, 'xsmm_reference_best': 2.022466666666667, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8313754165567837, 'speedup_best_over_ref': 0.8313754165567837, 'xsmm_custom_avg': 2.780733333333333, 'xsmm_custom_best': 2.780733333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.3118333333333334, 'xsmm_reference_best': 2.3118333333333334, 'xsmm_reference_cpu_freq': 2.999854, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8646694817957149, 'speedup_best_over_ref': 0.8646694817957149, 'xsmm_custom_avg': 3.425933333333334, 'xsmm_custom_best': 3.425933333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.9623, 'xsmm_reference_best': 2.9623, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 16384, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_1.0_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.30102782406967676, 'speedup_best_over_ref': 0.30102782406967676, 'xsmm_custom_avg': 23.1622, 'xsmm_custom_best': 23.1622, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.972466666666667, 'xsmm_reference_best': 6.972466666666667, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats_wider/vary_density/q_64/r_128_c_128_p_0.01_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9939522570633074, 'speedup_best_over_ref': 0.9939522570633074, 'xsmm_custom_avg': 1.4606, 'xsmm_custom_best': 1.4606, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.4517666666666666, 'xsmm_reference_best': 1.4517666666666666, 'xsmm_reference_cpu_freq': 2.999958, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats_wider/vary_density/q_64/r_128_c_128_p_0.1_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8717380087169408, 'speedup_best_over_ref': 0.8717380087169408, 'xsmm_custom_avg': 3.0362333333333336, 'xsmm_custom_best': 3.0362333333333336, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.6468, 'xsmm_reference_best': 2.6468, 'xsmm_reference_cpu_freq': 2.999835, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats_wider/vary_density/q_64/r_128_c_128_p_0.2_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9786323596944096, 'speedup_best_over_ref': 0.9786323596944096, 'xsmm_custom_avg': 4.790733333333334, 'xsmm_custom_best': 4.790733333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.688366666666665, 'xsmm_reference_best': 4.688366666666665, 'xsmm_reference_cpu_freq': 2.99993, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats_wider/vary_density/q_64/r_128_c_128_p_0.3_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0548021199663185, 'speedup_best_over_ref': 1.0548021199663185, 'xsmm_custom_avg': 6.729666666666666, 'xsmm_custom_best': 6.729666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.098466666666667, 'xsmm_reference_best': 7.098466666666667, 'xsmm_reference_cpu_freq': 2.999951, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats_wider/vary_density/q_64/r_128_c_128_p_0.4_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.899832711362759, 'speedup_best_over_ref': 0.899832711362759, 'xsmm_custom_avg': 9.066166666666668, 'xsmm_custom_best': 9.066166666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 8.158033333333334, 'xsmm_reference_best': 8.158033333333334, 'xsmm_reference_cpu_freq': 2.999924, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats_wider/vary_density/q_64/r_128_c_128_p_0.5_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.6386578391422334, 'speedup_best_over_ref': 0.6386578391422334, 'xsmm_custom_avg': 11.313099999999999, 'xsmm_custom_best': 11.313099999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.2252, 'xsmm_reference_best': 7.2252, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'dense'}
