{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0673200748195066, 'speedup_best_over_ref': 1.0673200748195066, 'xsmm_custom_avg': 343.226, 'xsmm_custom_best': 343.226, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 366.332, 'xsmm_reference_best': 366.332, 'xsmm_reference_cpu_freq': 2.999939, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0117603719417698, 'speedup_best_over_ref': 1.0117603719417698, 'xsmm_custom_avg': 393.61, 'xsmm_custom_best': 393.61, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 398.23900000000003, 'xsmm_reference_best': 398.23900000000003, 'xsmm_reference_cpu_freq': 2.999967, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.8420171282593771, 'speedup_best_over_ref': 0.8420171282593771, 'xsmm_custom_avg': 444.295, 'xsmm_custom_best': 444.295, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 374.104, 'xsmm_reference_best': 374.104, 'xsmm_reference_cpu_freq': 2.99994, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.01_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0085068359218479, 'speedup_best_over_ref': 1.0085068359218479, 'xsmm_custom_avg': 249.564, 'xsmm_custom_best': 249.564, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 251.687, 'xsmm_reference_best': 251.687, 'xsmm_reference_cpu_freq': 2.999977, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.1_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.900971565453963, 'speedup_best_over_ref': 0.900971565453963, 'xsmm_custom_avg': 418.294, 'xsmm_custom_best': 418.294, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 376.871, 'xsmm_reference_best': 376.871, 'xsmm_reference_cpu_freq': 2.999945, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.2_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9997366978301017, 'speedup_best_over_ref': 0.9997366978301017, 'xsmm_custom_avg': 554.496, 'xsmm_custom_best': 554.496, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 554.35, 'xsmm_reference_best': 554.35, 'xsmm_reference_cpu_freq': 2.999927, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.3_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9021360655305923, 'speedup_best_over_ref': 0.9021360655305923, 'xsmm_custom_avg': 759.34, 'xsmm_custom_best': 759.34, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 685.028, 'xsmm_reference_best': 685.028, 'xsmm_reference_cpu_freq': 2.999873, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.4_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.2233027682571027, 'speedup_best_over_ref': 1.2233027682571027, 'xsmm_custom_avg': 988.492, 'xsmm_custom_best': 988.492, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1209.225, 'xsmm_reference_best': 1209.225, 'xsmm_reference_cpu_freq': 2.999939, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.5_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9690967467397008, 'speedup_best_over_ref': 0.9690967467397008, 'xsmm_custom_avg': 1250.192, 'xsmm_custom_best': 1250.192, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1211.557, 'xsmm_reference_best': 1211.557, 'xsmm_reference_cpu_freq': 2.999898, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0475946542508252, 'speedup_best_over_ref': 1.0475946542508252, 'xsmm_custom_avg': 372.857, 'xsmm_custom_best': 372.857, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 390.60299999999995, 'xsmm_reference_best': 390.60299999999995, 'xsmm_reference_cpu_freq': 2.999922, 'xsmm_reference_kernel_type': 'wide-sparse'}
