{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.060832244821795, 'speedup_best_over_ref': 1.060832244821795, 'xsmm_custom_avg': 342.976, 'xsmm_custom_best': 342.976, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 363.84, 'xsmm_reference_best': 363.84, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0106979087803878, 'speedup_best_over_ref': 1.0106979087803878, 'xsmm_custom_avg': 394.937, 'xsmm_custom_best': 394.937, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 399.16200000000003, 'xsmm_reference_best': 399.16200000000003, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.8271685481222188, 'speedup_best_over_ref': 0.8271685481222188, 'xsmm_custom_avg': 444.514, 'xsmm_custom_best': 444.514, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 367.688, 'xsmm_reference_best': 367.688, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.01_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0017029794068628, 'speedup_best_over_ref': 1.0017029794068628, 'xsmm_custom_avg': 247.801, 'xsmm_custom_best': 247.801, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 248.223, 'xsmm_reference_best': 248.223, 'xsmm_reference_cpu_freq': 2.99997, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.1_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.894634011846246, 'speedup_best_over_ref': 0.894634011846246, 'xsmm_custom_avg': 420.724, 'xsmm_custom_best': 420.724, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 376.394, 'xsmm_reference_best': 376.394, 'xsmm_reference_cpu_freq': 2.999869, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.2_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9986419603510289, 'speedup_best_over_ref': 0.9986419603510289, 'xsmm_custom_avg': 553.0029999999999, 'xsmm_custom_best': 553.0029999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 552.252, 'xsmm_reference_best': 552.252, 'xsmm_reference_cpu_freq': 2.999926, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.3_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9031262188115993, 'speedup_best_over_ref': 0.9031262188115993, 'xsmm_custom_avg': 758.936, 'xsmm_custom_best': 758.936, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 685.415, 'xsmm_reference_best': 685.415, 'xsmm_reference_cpu_freq': 2.999926, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.4_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.1962980806620873, 'speedup_best_over_ref': 1.1962980806620873, 'xsmm_custom_avg': 990.081, 'xsmm_custom_best': 990.081, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1184.432, 'xsmm_reference_best': 1184.432, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.5_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9517735569472081, 'speedup_best_over_ref': 0.9517735569472081, 'xsmm_custom_avg': 1249.833, 'xsmm_custom_best': 1249.833, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1189.558, 'xsmm_reference_best': 1189.558, 'xsmm_reference_cpu_freq': 2.999963, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0537764122669784, 'speedup_best_over_ref': 1.0537764122669784, 'xsmm_custom_avg': 371.371, 'xsmm_custom_best': 371.371, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 391.342, 'xsmm_reference_best': 391.342, 'xsmm_reference_cpu_freq': 2.999887, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.15_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.6540381388575227, 'speedup_best_over_ref': 0.6540381388575227, 'xsmm_custom_avg': 473.795, 'xsmm_custom_best': 473.795, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 309.88, 'xsmm_reference_best': 309.88, 'xsmm_reference_cpu_freq': 2.999967, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.25_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.8984788410568569, 'speedup_best_over_ref': 0.8984788410568569, 'xsmm_custom_avg': 651.2139999999999, 'xsmm_custom_best': 651.2139999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 585.102, 'xsmm_reference_best': 585.102, 'xsmm_reference_cpu_freq': 2.999964, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.025_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0485748742536105, 'speedup_best_over_ref': 1.0485748742536105, 'xsmm_custom_avg': 339.97, 'xsmm_custom_best': 339.97, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 356.484, 'xsmm_reference_best': 356.484, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.075_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0102015326269893, 'speedup_best_over_ref': 1.0102015326269893, 'xsmm_custom_avg': 396.313, 'xsmm_custom_best': 396.313, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 400.356, 'xsmm_reference_best': 400.356, 'xsmm_reference_cpu_freq': 2.999899, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.125_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.8293357022998716, 'speedup_best_over_ref': 0.8293357022998716, 'xsmm_custom_avg': 445.764, 'xsmm_custom_best': 445.764, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 369.688, 'xsmm_reference_best': 369.688, 'xsmm_reference_cpu_freq': 2.999925, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_row/q_16/r_32_c_128_p_0.05_uniq_16.txt', 'size_n': 1800000, 'speedup_avg_over_ref': 1.0499472675445614, 'speedup_best_over_ref': 1.0499472675445614, 'xsmm_custom_avg': 306.26300000000003, 'xsmm_custom_best': 306.26300000000003, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 321.56, 'xsmm_reference_best': 321.56, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_row/q_16/r_64_c_128_p_0.05_uniq_16.txt', 'size_n': 1500000, 'speedup_avg_over_ref': 1.0862131274086624, 'speedup_best_over_ref': 1.0862131274086624, 'xsmm_custom_avg': 345.887, 'xsmm_custom_best': 345.887, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 375.707, 'xsmm_reference_best': 375.707, 'xsmm_reference_cpu_freq': 2.999967, 'xsmm_reference_kernel_type': 'wide-sparse'}
