{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9831029743017627, 'speedup_best_over_ref': 0.9831029743017627, 'xsmm_custom_avg': 2.665163333333333, 'xsmm_custom_best': 2.665163333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.62013, 'xsmm_reference_best': 2.62013, 'xsmm_reference_cpu_freq': 2.49993, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0282836269091296, 'speedup_best_over_ref': 1.0282836269091296, 'xsmm_custom_avg': 2.1923166666666667, 'xsmm_custom_best': 2.1923166666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.2543233333333332, 'xsmm_reference_best': 2.2543233333333332, 'xsmm_reference_cpu_freq': 2.499978, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9165757176276256, 'speedup_best_over_ref': 0.9165757176276256, 'xsmm_custom_avg': 2.9381533333333336, 'xsmm_custom_best': 2.9381533333333336, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.6930400000000003, 'xsmm_reference_best': 2.6930400000000003, 'xsmm_reference_cpu_freq': 2.499928, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9848291637426994, 'speedup_best_over_ref': 0.9848291637426994, 'xsmm_custom_avg': 2.1042566666666667, 'xsmm_custom_best': 2.1042566666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.0723333333333334, 'xsmm_reference_best': 2.0723333333333334, 'xsmm_reference_cpu_freq': 2.499949, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9278676822078459, 'speedup_best_over_ref': 0.9278676822078459, 'xsmm_custom_avg': 2.614916666666667, 'xsmm_custom_best': 2.614916666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.4262966666666665, 'xsmm_reference_best': 2.4262966666666665, 'xsmm_reference_cpu_freq': 2.499872, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9447685263587433, 'speedup_best_over_ref': 0.9447685263587433, 'xsmm_custom_avg': 5.334156666666667, 'xsmm_custom_best': 5.334156666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 5.0395433333333335, 'xsmm_reference_best': 5.0395433333333335, 'xsmm_reference_cpu_freq': 2.499962, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.031340062327843, 'speedup_best_over_ref': 1.031340062327843, 'xsmm_custom_avg': 4.86353, 'xsmm_custom_best': 4.86353, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 5.015953333333334, 'xsmm_reference_best': 5.015953333333334, 'xsmm_reference_cpu_freq': 2.499924, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9413753498321263, 'speedup_best_over_ref': 0.9413753498321263, 'xsmm_custom_avg': 5.82184, 'xsmm_custom_best': 5.82184, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 5.480536666666667, 'xsmm_reference_best': 5.480536666666667, 'xsmm_reference_cpu_freq': 2.499964, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.906185529542301, 'speedup_best_over_ref': 0.906185529542301, 'xsmm_custom_avg': 3.1183533333333333, 'xsmm_custom_best': 3.1183533333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.8258066666666664, 'xsmm_reference_best': 2.8258066666666664, 'xsmm_reference_cpu_freq': 2.49988, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9806953937286452, 'speedup_best_over_ref': 0.9806953937286452, 'xsmm_custom_avg': 2.5862566666666664, 'xsmm_custom_best': 2.5862566666666664, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.53633, 'xsmm_reference_best': 2.53633, 'xsmm_reference_cpu_freq': 2.499853, 'xsmm_reference_kernel_type': 'wide-sparse'}
