{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.5738316154884607, 'speedup_best_over_ref': 0.5738316154884607, 'xsmm_custom_avg': 14.000100000000002, 'xsmm_custom_best': 14.000100000000002, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 8.0337, 'xsmm_reference_best': 8.0337, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.47302142038189954, 'speedup_best_over_ref': 0.47302142038189954, 'xsmm_custom_avg': 24.741233333333337, 'xsmm_custom_best': 24.741233333333337, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 11.703133333333334, 'xsmm_reference_best': 11.703133333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m132.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.566404900628699, 'speedup_best_over_ref': 0.566404900628699, 'xsmm_custom_avg': 21.7115, 'xsmm_custom_best': 21.7115, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 12.297499999999998, 'xsmm_reference_best': 12.297499999999998, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m460.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.4263286464276064, 'speedup_best_over_ref': 0.4263286464276064, 'xsmm_custom_avg': 30.470233333333333, 'xsmm_custom_best': 30.470233333333333, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 12.990333333333332, 'xsmm_reference_best': 12.990333333333332, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m0.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.456010463480928, 'speedup_best_over_ref': 0.456010463480928, 'xsmm_custom_avg': 17.94176666666667, 'xsmm_custom_best': 17.94176666666667, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 8.181633333333332, 'xsmm_reference_best': 8.181633333333332, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m3.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.40073214961745, 'speedup_best_over_ref': 0.40073214961745, 'xsmm_custom_avg': 28.527866666666668, 'xsmm_custom_best': 28.527866666666668, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 11.432033333333333, 'xsmm_reference_best': 11.432033333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m6.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3926200003939839, 'speedup_best_over_ref': 0.3926200003939839, 'xsmm_custom_avg': 49.07136666666667, 'xsmm_custom_best': 49.07136666666667, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 19.266399999999997, 'xsmm_reference_best': 19.266399999999997, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m132.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.5749535261423823, 'speedup_best_over_ref': 0.5749535261423823, 'xsmm_custom_avg': 42.29976666666666, 'xsmm_custom_best': 42.29976666666666, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 24.320400000000003, 'xsmm_reference_best': 24.320400000000003, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m460.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3142042153833751, 'speedup_best_over_ref': 0.3142042153833751, 'xsmm_custom_avg': 70.29016666666666, 'xsmm_custom_best': 70.29016666666666, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 22.08546666666667, 'xsmm_reference_best': 22.08546666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m0.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3043683907938066, 'speedup_best_over_ref': 0.3043683907938066, 'xsmm_custom_avg': 37.2807, 'xsmm_custom_best': 37.2807, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 11.347066666666667, 'xsmm_reference_best': 11.347066666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
