{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999933, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m6.txt', 'xsmm_reference_avg': 4.535, 'xsmm_reference_best': 4.535, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999882, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m132.txt', 'xsmm_reference_avg': 3.444, 'xsmm_reference_best': 3.444, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999908, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m460.txt', 'xsmm_reference_avg': 4.547, 'xsmm_reference_best': 4.547, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 16, 'a_rows': 16, 'a_size': 256, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999873, 'density': 0.0625, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 4.128, 'xsmm_reference_best': 4.128, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999966, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 4.725, 'xsmm_reference_best': 4.725, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 32, 'a_size': 512, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999914, 'density': 0.125, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 7.706, 'xsmm_reference_best': 7.706, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 32, 'a_nonzero': 112, 'a_rows': 16, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999921, 'density': 0.21875, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 7.025, 'xsmm_reference_best': 7.025, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 112, 'a_rows': 32, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999912, 'density': 0.21875, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 8.333, 'xsmm_reference_best': 8.333, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999926, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m0.txt', 'xsmm_reference_avg': 4.988, 'xsmm_reference_best': 4.988, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999909, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m3.txt', 'xsmm_reference_avg': 4.759, 'xsmm_reference_best': 4.759, 'xsmm_reference_kernel_type': 'sparse'}
