{'N_BLOCKING=1_avg': 362.714, 'N_BLOCKING=1_best': 362.714, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 416.275, 'N_BLOCKING=2_best': 416.275, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 412.101, 'N_BLOCKING=3_best': 412.101, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 1800000, 'xsmm_reference_avg': 409.091, 'xsmm_reference_best': 409.091, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 347.543, 'N_BLOCKING=1_best': 347.543, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 370.071, 'N_BLOCKING=2_best': 370.071, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 361.741, 'N_BLOCKING=3_best': 361.741, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 999984, 'xsmm_reference_avg': 363.77700000000004, 'xsmm_reference_best': 363.77700000000004, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 375.024, 'N_BLOCKING=1_best': 375.024, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 441.268, 'N_BLOCKING=2_best': 441.268, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 438.244, 'N_BLOCKING=3_best': 438.244, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m132.txt', 'size_n': 1124976, 'xsmm_reference_avg': 434.597, 'xsmm_reference_best': 434.597, 'xsmm_reference_cpu_freq': 2.999921, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 369.091, 'N_BLOCKING=1_best': 369.091, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 367.938, 'N_BLOCKING=2_best': 367.938, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 309.105, 'N_BLOCKING=3_best': 309.105, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m460.txt', 'size_n': 1124976, 'xsmm_reference_avg': 354.912, 'xsmm_reference_best': 354.912, 'xsmm_reference_cpu_freq': 2.999937, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 311.328, 'N_BLOCKING=1_best': 311.328, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 314.629, 'N_BLOCKING=2_best': 314.629, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 315.46799999999996, 'N_BLOCKING=3_best': 315.46799999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m0.txt', 'size_n': 1047264, 'xsmm_reference_avg': 313.881, 'xsmm_reference_best': 313.881, 'xsmm_reference_cpu_freq': 2.999963, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 364.52599999999995, 'N_BLOCKING=1_best': 364.52599999999995, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 438.191, 'N_BLOCKING=2_best': 438.191, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 409.486, 'N_BLOCKING=3_best': 409.486, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m3.txt', 'size_n': 1047264, 'xsmm_reference_avg': 432.88, 'xsmm_reference_best': 432.88, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 353.47799999999995, 'N_BLOCKING=1_best': 353.47799999999995, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 367.421, 'N_BLOCKING=2_best': 367.421, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 361.084, 'N_BLOCKING=3_best': 361.084, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m6.txt', 'size_n': 548544, 'xsmm_reference_avg': 367.836, 'xsmm_reference_best': 367.836, 'xsmm_reference_cpu_freq': 2.999886, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 479.224, 'N_BLOCKING=1_best': 479.224, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 473.96900000000005, 'N_BLOCKING=2_best': 473.96900000000005, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 453.429, 'N_BLOCKING=3_best': 453.429, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m132.txt', 'size_n': 576000, 'xsmm_reference_avg': 481.257, 'xsmm_reference_best': 481.257, 'xsmm_reference_cpu_freq': 2.999912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 416.871, 'N_BLOCKING=1_best': 416.871, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 402.289, 'N_BLOCKING=2_best': 402.289, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 390.01800000000003, 'N_BLOCKING=3_best': 390.01800000000003, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m460.txt', 'size_n': 576000, 'xsmm_reference_avg': 404.26099999999997, 'xsmm_reference_best': 404.26099999999997, 'xsmm_reference_cpu_freq': 2.999902, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 379.896, 'N_BLOCKING=1_best': 379.896, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 370.488, 'N_BLOCKING=2_best': 370.488, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 353.70500000000004, 'N_BLOCKING=3_best': 353.70500000000004, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m0.txt', 'size_n': 1047264, 'xsmm_reference_avg': 371.97900000000004, 'xsmm_reference_best': 371.97900000000004, 'xsmm_reference_cpu_freq': 2.999872, 'xsmm_reference_kernel_type': 'wide-sparse'}
